COMP,GAP,COMPGAP,TRT,TREE#,STATUS,SPP,DBH,HEIGHT,CRWNcls,HTCB,DISTANCE ,SIDE,P/NP,COMMENTS
10,O,10O,MH,1,,WF,5.8,,,8.2,,,P,
10,O,10O,MH,2,,WF,2.6,,,1.5,,,NP,
10,O,10O,MH,3,,IC,5.8,,,4.5,,,NP,
10,O,10O,MH,4,,IC,2.6,,,5,,,P,
10,O,10O,MH,5,,WF,2,,,0.5,,,NP,
10,O,10O,MH,6,,DF,1.5,,,4,,,P,
10,O,10O,MH,7,,IC,2.7,,,0.5,,,NP,
10,O,10O,MH,8,,IC,8.4,,,7.4,,,P,
10,O,10O,MH,9,,DF,4.7,,,8.3,,,P,
10,O,10O,MH,10,,DF,6.1,,,1.5,,,NP,
10,O,10O,MH,11,,WF,2,,,0,,,NP,
10,O,10O,MH,12,,IC,4.4,,,0.5,,,NP,
10,O,10O,MH,14,,IC,3.8,,,2,,,NP,
10,O,10O,MH,15,,IC,3.8,,,6.5,,,P,
10,O,10O,MH,16,,WF,1.5,,,0,,,NP,
10,O,10O,MH,17,,DF,3.5,,,1.5,,,NP,
10,O,10O,MH,18,,DF,5.8,,,2.5,,,NP,
10,O,10O,MH,19,,DF,2.4,,,6.1,,,P,
10,O,10O,MH,20,,IC,4.3,,,2,,,NP,
10,O,10O,MH,21,,IC,6.5,,,2,,,NP,
10,O,10O,MH,22,,PP,3.1,,,5.7,,,P,
10,O,10O,MH,23,,IC,3.7,,,6.4,,,P,
10,O,10O,MH,24,,IC,4.9,,,7.2,,,P,
10,O,10O,MH,25,,IC,4.9,,,7.8,,,P,
10,O,10O,MH,26,,IC,4,,,0,,,NP,
10,O,10O,MH,27,,IC,5,,,0,,,NP,
10,O,10O,MH,28,,PP,5,,,2,,,NP,
10,O,10O,MH,29,,IC,4,,,2,,,NP,
10,O,10O,MH,30,,IC,5.9,,,3,,,NP,
10,O,10O,MH,31,,DF,4.6,,,7.4,,,P,
10,O,10O,MH,32,,SP,5.1,,,1.5,,,NP,
10,O,10O,MH,33,,PP,6.3,,,7.1,,,NP,
10,O,10O,MH,34,,IC,2.4,,,2,,,NP,
10,O,10O,MH,35,,DF,5.3,,,1.5,,,NP,
10,O,10O,MH,36,,IC,4.9,,,6.7,,,P,
10,O,10O,MH,37,,IC,5.6,,,7.4,,,P,
10,O,10O,MH,38,,IC,5.9,,,0,,,NP,
10,O,10O,MH,39,,IC,2.7,,,5.5,,,P,
10,O,10O,MH,40,,IC,3,,,2.5,,,NP,
10,O,10O,MH,41,,PP,3.6,,,2.5,,,NP,
10,O,10O,MH,42,,DF,3.6,,,6,,,P,
10,O,10O,MH,43,,DF,2.6,,,6,,,P,
10,O,10O,MH,44,,DF,4.3,,,0,,,NP,
10,O,10O,MH,45,,PP,7,,,9.2,,,P,
10,O,10O,MH,46,,IC,4.5,,,1,,,NP,
10,O,10O,MH,47,,PP,5.8,,,4,,,NP,
10,O,10O,MH,48,,PP,5.2,,,3.5,,,NP,
10,O,10O,MH,49,,DF,4.1,,,0,,,NP,
10,O,10O,MH,50,,PP,4.9,,,6.9,,,P,
10,O,10O,MH,51,,IC,3.4,,,0,,,NP,
10,O,10O,MH,52,,DF,3.2,,,6.8,,,P,
10,O,10O,MH,53,,DF,4.2,,,0,,,NP,
10,O,10O,MH,54,,IC,4.4,,,6.4,,,P,
10,O,10O,MH,55,,DF,4.2,,,2,,,NP,
10,O,10O,MH,56,,DF,4.9,,,7.3,,,P,
10,O,10O,MH,57,,DF,3.8,,,6.8,,,P,
10,O,10O,MH,58,,DF,4.2,,,8.6,,,P,
10,O,10O,MH,59,,IC,4.2,,,1,,,NP,
10,O,10O,MH,60,,DF,1.8,,,2,,,NP,
10,O,10O,MH,61,,DF,4.6,,,3,,,NP,
10,O,10O,MH,62,,IC,3,,,5.5,,,P,
10,O,10O,MH,63,,IC,2.7,,,3.5,,,NP,
10,O,10O,MH,64,,DF,2.8,,,0,,,NP,
10,O,10O,MH,65,,IC,4.8,,,5.9,,,P,
10,O,10O,MH,66,,DF,2.5,,,5.5,,,P,
10,O,10O,MH,67,,DF,2.1,,,1,,,NP,
10,O,10O,MH,68,,DF,2.9,,,6.8,,,P,
10,O,10O,MH,69,,IC,2.4,,,0,,,NP,
10,O,10O,MH,70,,IC,2.6,,,0,,,NP,
10,O,10O,MH,71,,PP,4.6,,,7,,,P,
10,O,10O,MH,72,,PP,4.7,,,6.1,,,NP,
10,O,10O,MH,73,,PP,6.5,,,9.7,,,P,
10,O,10O,MH,74,,DF,2.1,,,5.5,,,P,
10,O,10O,MH,75,,SP,4,,,2,,,NP,
10,O,10O,MH,76,,IC,4.9,,,6.5,,,P,
10,O,10O,MH,77,,PP,5.8,,,2,,,NP,
10,O,10O,MH,78,,IC,6,,,7.1,,,P,
10,O,10O,MH,79,,DF,3.9,,,7.1,,,P,
10,O,10O,MH,80,,IC,3.2,,,0,,,NP,
10,O,10O,MH,81,,IC,3.5,,,0.5,,,NP,
10,O,10O,MH,82,,SP,4.6,,,2,,,NP,
10,O,10O,MH,83,,DF,2.4,,,5.5,,,P,
10,O,10O,MH,84,,PP,8.1,,,10.7,,,P,
10,O,10O,MH,85,,DF,1.3,,,0,,,NP,
10,O,10O,MH,86,,GS,5.4,,,7,,,P,
10,O,10O,MH,87,,SP,3.8,,,6.6,,,P,
10,O,10O,MH,88,,PP,6.9,,,4,,,NP,
10,O,10O,MH,89,,PP,6.2,,,7.7,,,P,
10,O,10O,MH,90,,DF,2.1,,,0,,,NP,
10,O,10O,MH,91,,SP,3.6,,,7.7,,,P,
10,O,10O,MH,92,,IC,4.6,,,6.3,,,P,
10,O,10O,MH,93,,PP,6.9,,,5,,,NP,
10,O,10O,MH,94,,DF,4.2,,,2,,,NP,
10,O,10O,MH,95,,DF,4.2,,,0,,,NP,
10,O,10O,MH,96,,IC,2.5,,,0,,,NP,NEXT TO 95
10,O,10O,MH,97,,PP,5.4,,,3,,,NP,
10,O,10O,MH,98,,IC,2.2,,,0,,,NP,
10,O,10O,MH,99,,IC,4.7,,,7.8,,,P,
10,O,10O,MH,100,,DF,3.4,,,1,,,NP,
10,O,10O,MH,101,,DF,4.7,,,7.5,,,P,
10,O,10O,MH,102,,IC,4.7,,,0,,,NP,
10,O,10O,MH,103,,IC,5.4,,,6.7,,,P,
10,O,10O,MH,104,,SP,2.1,,,5.8,,,P,
10,O,10O,MH,105,,IC,3.8,,,6.4,,,P,
10,O,10O,MH,106,,DF,3.5,,,1,,,NP,
10,O,10O,MH,107,,PP,3.6,,,5.5,,,P,
10,O,10O,MH,108,,IC,4.9,,,2,,,NP,
10,O,10O,MH,109,,GS,2.7,,,1,,,NP,
10,O,10O,MH,111,,WF,1.4,,,0,,,NP,
10,O,10O,MH,112,,DF,2.1,,,1,,,NP,
10,O,10O,MH,113,,DF,2.5,,,2.5,,,NP,
10,O,10O,MH,114,,DF,3,,,0,,,NP,
10,O,10O,MH,115,,SP,3.9,,,8.2,,,P,
10,O,10O,MH,116,,DF,4.4,,,0,,,NP,
10,O,10O,MH,117,,PP,5.8,,,2.5,,,NP,
10,O,10O,MH,118,,IC,6.2,,,7,,,P,
10,O,10O,MH,119,,SP,2.8,,,1,,,NP,
10,O,10O,MH,120,,DF,4.1,,,0.5,,,NP,
10,O,10O,MH,121,,GS,9.8,,,6.9,,,P,
10,O,10O,MH,122,,DF,3.5,,,0.5,,,NP,
10,O,10O,MH,123,,IC,5,,,6.6,,,P,
10,O,10O,MH,124,,SP,4.7,,,1,,,NP,
10,O,10O,MH,125,,DF,4.9,,,7.7,,,P,
10,O,10O,MH,126,,GS,6.6,,,2,,,NP,
10,O,10O,MH,127,,IC,5.2,,,7.3,,,P,
10,O,10O,MH,128,,PP,4.8,,,7.8,,,P,
10,O,10O,MH,129,,DF,4.7,,,7.6,,,P,
10,O,10O,MH,130,,SP,5.3,,,3,,,NP,
10,O,10O,MH,131,,IC,5,,,1,,,NP,
10,O,10O,MH,132,,IC,6.1,,,1.5,,,NP,
10,O,10O,MH,133,,PP,5.3,,,4.5,,,NP,
10,O,10O,MH,134,,IC,7.5,,,7,,,P,
10,O,10O,MH,135,,PP,4.2,,,2.5,,,NP,
10,O,10O,MH,136,,IC,5.7,,,6.6,,,P,
10,O,10O,MH,137,,IC,3.9,,,6.3,,,P,
10,O,10O,MH,138,,GS,3.9,,,6.3,,,P,
10,O,10O,MH,139,,GS,4.5,,,6.6,,,P,
10,O,10O,MH,140,,DF,4.3,,,7.1,,,P,
10,O,10O,MH,141,,PP,6.3,,,4.5,,,NP,
10,O,10O,MH,142,,DF,2.3,,,0.5,,,NP,
10,O,10O,MH,143,,WF,1.5,,,0,,,NP,
10,O,10O,MH,144,,SP,4.3,,,8.6,,,NP,SELF PRUNNED
10,O,10O,MH,145,,IC,3.8,,,1,,,NP,
10,Q,10Q,MH,1,,IC,2.9,,,5.5,,,P,
10,Q,10Q,MH,2,,PP,6.1,,,7.3,,,NP,
10,Q,10Q,MH,3,,WF,2.9,,,7.4,,,P,
10,Q,10Q,MH,4,,IC,1.5,,,3.5,,,P,
10,Q,10Q,MH,5,,IC,4.6,,,7.2,,,NP,
10,Q,10Q,MH,6,,IC,4.2,,,4.5,,,NP,
10,Q,10Q,MH,7,,DF,5.2,,,8.4,,,P,
10,Q,10Q,MH,8,,SP,5.7,,,7.7,,,P,
10,Q,10Q,MH,9,,PP,4.7,,,6.8,,,P,
10,Q,10Q,MH,10,,DF,3.2,,,6.8,,,P,
10,Q,10Q,MH,11,,DF,2,,,4,,,P,
10,Q,10Q,MH,12,,PP,7.3,,,7.3,,,P,
10,Q,10Q,MH,13,,SP,2.7,,,5.7,,,P,
10,Q,10Q,MH,14,,SP,4,,,1.5,,,NP,
10,Q,10Q,MH,15,,PP,5.2,,,5.8,,,P,
10,Q,10Q,MH,16,,IC,4,,,5.5,,,P,
10,Q,10Q,MH,17,,PP,5.6,,,8.8,,,P,
10,Q,10Q,MH,18,,SP,2.8,,,0.5,,,NP,
10,Q,10Q,MH,19,,DF,1.3,,,0,,,NP,
10,Q,10Q,MH,20,,DF,1.8,,,5,,,P,
10,Q,10Q,MH,21,,DF,2.6,,,0,,,NP,
10,Q,10Q,MH,22,,IC,2,,,0,,,NP,
10,Q,10Q,MH,23,,DF,3.8,,,6.5,,,P,
10,Q,10Q,MH,24,,PP,8,,,8,,,P,
10,Q,10Q,MH,25,,IC,1.5,,,0,,,NP,
10,Q,10Q,MH,26,,SP,5,,,0,,,NP,
10,Q,10Q,MH,27,,SP,3.7,,,0,,,NP,
10,Q,10Q,MH,28,,PP,5.9,,,7.9,,,P,
10,Q,10Q,MH,29,,GS,9,,,1,,,NP,
10,Q,10Q,MH,30,,GS,12.9,,,7.6,,,P,
10,Q,10Q,MH,31,,SP,4.4,,,7.4,,,P,
10,Q,10Q,MH,32,,IC,2.8,,,1.5,,,NP,
10,Q,10Q,MH,33,,GS,6.1,,,6.3,,,P,
10,Q,10Q,MH,34,,PP,6,,,2.5,,,NP,
10,Q,10Q,MH,35,,IC,4.9,,,6.6,,,P,
10,Q,10Q,MH,36,,SP,4.2,,,1.5,,,NP,
10,Q,10Q,MH,37,,PP,4.4,,,7.7,,,P,DBH ABOVE SWELL
10,Q,10Q,MH,38,,SP,5,,,2,,,NP,
10,Q,10Q,MH,39,,PP,7.7,,,7.7,,,P,
10,Q,10Q,MH,40,,DF,3,,,0,,,NP,
10,Q,10Q,MH,41,,DF,1.2,,,0.5,,,NP,
10,Q,10Q,MH,42,,WF,5.3,,,7.2,,,P,
10,Q,10Q,MH,43,,PP,6.9,,,8,,,P,
10,Q,10Q,MH,44,,DF,3.1,,,0.5,,,NP,
10,Q,10Q,MH,45,,PP,6.3,,,4,,,NP,
10,Q,10Q,MH,46,,IC,1.2,,,4.5,,,P,ATTACHED AT BASE TO 47
10,Q,10Q,MH,47,,IC,1.2,,,4.5,,,P,ATTACHED AT BASE TO 46
10,Q,10Q,MH,48,,IC,1.5,,,0,,,NP,
10,Q,10Q,MH,49,,DF,3.4,,,6.6,,,P,
10,Q,10Q,MH,50,,DF,7.7,,,3.4,,,P,
10,Q,10Q,MH,51,,PP,5.7,,,4,,,NP,
10,Q,10Q,MH,53,,DF,5.3,,,6.9,,,P,
10,Q,10Q,MH,55,,PP,7.3,,,2.5,,,NP,
10,Q,10Q,MH,56,,IC,5.1,,,0,,,NP,
10,Q,10Q,MH,57,,DF,3.6,,,0,,,NP,
10,Q,10Q,MH,58,,SP,5.8,,,8,,,P,
10,Q,10Q,MH,59,,DF,4.1,,,1,,,NP,
10,Q,10Q,MH,60,,PP,6.1,,,8.2,,,P,
10,Q,10Q,MH,61,,DF,2.6,,,0.5,,,NP,
10,Q,10Q,MH,62,,DF,2.6,,,5.6,,,P,
10,Q,10Q,MH,63,,IC,2.1,,,5.5,,,P,ATTACHED AT BASE TO 64
10,Q,10Q,MH,64,,IC,2.5,,,5.5,,,P,ATTACHED AT BASE TO 63
10,Q,10Q,MH,65,,PP,3.1,,,5,,,P,
10,Q,10Q,MH,66,,PP,6.7,,,4.5,,,NP,
10,Q,10Q,MH,67,,DF,3.7,,,6.9,,,P,
10,Q,10Q,MH,68,,PP,5.2,,,5.5,,,NP,
10,Q,10Q,MH,69,,PP,6.8,,,5.5,,,NP,
10,Q,10Q,MH,70,,DF,2.9,,,0.5,,,NP,
10,Q,10Q,MH,71,,WF,1.9,,,0,,,NP,
10,Q,10Q,MH,72,,WF,3.7,,,2,,,NP,
10,Q,10Q,MH,73,,PP,5.4,,,4,,,NP,
10,Q,10Q,MH,74,,DF,1.8,,,5.5,,,P,
10,Q,10Q,MH,75,,PP,8.4,,,6.6,,,P,
10,Q,10Q,MH,76,,IC,4.2,,,6.8,,,P,
10,Q,10Q,MH,77,,DF,2.3,,,5,,,P,
10,Q,10Q,MH,78,,PP,6.9,,,8.1,,,P,
10,Q,10Q,MH,79,,WF,4.7,,,6.1,,,P,
10,Q,10Q,MH,80,,PP,5.6,,,3.5,,,NP,
10,Q,10Q,MH,81,,IC,3.5,,,3,,,NP,
10,Q,10Q,MH,82,,PP,6.2,,,4.5,,,NP,
10,Q,10Q,MH,83,,SP,3.5,,,2.5,,,NP,
10,Q,10Q,MH,84,,IC,4.5,,,6.3,,,P,
10,Q,10Q,MH,85,,DF,2.1,,,0,,,NP,
10,Q,10Q,MH,86,,PP,2.9,,,3,,,NP,
10,Q,10Q,MH,87,,IC,1.7,,,1,,,NP,S OF DEEP CANYON
10,Q,10Q,MH,88,,PP,2.5,,,2.5,,,NP,
10,Q,10Q,MH,89,,DF,2.2,,,0,,,NP,
10,Q,10Q,MH,90,,PP,4.3,,,3,,,NP,
10,Q,10Q,MH,91,,DF,1,,,4,,,P,
10,Q,10Q,MH,92,,DF,2.6,,,0,,,NP,
10,Q,10Q,MH,93,,DF,2.4,,,1,,,NP,
10,Q,10Q,MH,94,,IC,2.5,,,1.5,,,NP,
10,Q,10Q,MH,95,,DF,1.1,,,5,,,P,
10,Q,10Q,MH,96,,IC,2.2,,,0.5,,,NP,
10,Q,10Q,MH,97,,PP,6.7,,,7.9,,,P,
10,Q,10Q,MH,98,,DF,3.2,,,7.3,,,P,
10,Q,10Q,MH,99,,IC,1.8,,,5,,,P,
10,Q,10Q,MH,100,,DF,3.8,,,9.9,,,P,TAG NAILED
10,Q,10Q,MH,101,,GS,3.3,,,3.5,,,NP,
10,Q,10Q,MH,102,,PP,5.6,,,3,,,NP,
10,Q,10Q,MH,103,,SP,1.7,,,2,,,NP,
10,Q,10Q,MH,104,,IC,1.6,,,4.5,,,P,
10,Q,10Q,MH,105,,IC,3.7,,,1,,,NP,
10,Q,10Q,MH,106,,IC,0.9,,,2.5,,,NP,
10,Q,10Q,MH,107,,SP,2.8,,,5.5,,,P,TAG 8 CROSSED OUT
10,Q,10Q,MH,108,,GS,5.5,,,7.2,,,P,
10,Q,10Q,MH,109,,IC,4.7,,,3,,,NP,
10,Q,10Q,MH,110,,PP,2.1,,,4.5,,,P,
10,Q,10Q,MH,111,,IC,6.1,,,7.7,,,P,
10,Q,10Q,MH,112,,IC,3.3,,,3.5,,,NP,
10,Q,10Q,MH,113,,DF,4.1,,,5.5,,,NP,
10,Q,10Q,MH,114,,GS,6,,,7.3,,,P,
10,Q,10Q,MH,115,,GS,5.9,,,6.6,,,P,
10,Q,10Q,MH,116,,GS,6.1,,,2.5,,,NP,
10,Q,10Q,MH,117,,IC,1.7,,,0,,,NP,
10,Q,10Q,MH,118,,IC,5.1,,,5.9,,,P,
10,Q,10Q,MH,119,,IC,3.2,,,5.2,,,P,
10,Q,10Q,MH,120,,SP,3.9,,,2,,,NP,
10,Q,10Q,MH,121,,IC,1.7,,,4.5,,,P,
10,Q,10Q,MH,122,,IC,2.6,,,5,,,P,
10,Q,10Q,MH,123,,IC,1.8,,,2,,,NP,
10,Q,10Q,MH,124,,IC,2.3,,,0.5,,,NP,
10,Q,10Q,MH,125,,WF,2.8,,,6.8,,,P,
10,Q,10Q,MH,126,,PP,4.8,,,6.8,,,P,
10,Q,10Q,MH,127,,IC,4,,,4,,,NP,
10,Q,10Q,MH,128,,IC,0.8,,,1,,,NP,
10,Q,10Q,MH,129,,IC,1.7,,,4.5,,,P,
30,A,30A,M,1,,IC,2.1,,,3.9,,,P,
30,A,30A,M,2,,DF,2.9,,,5.6,,,P,
30,A,30A,M,3,,GS,4.6,,,2,,,NP,
30,A,30A,M,4,,PP,7.4,,,7.9,,,P,
30,A,30A,M,5,,IC,6,,,6.9,,,P,
30,A,30A,M,6,,GS,6.8,,,6.1,,,P,
30,A,30A,M,7,,SP,4.9,,,7.4,,,P,
30,A,30A,M,8,,WF,5,,,4.1,,,NP,
30,A,30A,M,9,,WF,7.3,,,6.2,,,P,
30,A,30A,M,10,,WF,3.6,,,6.5,,,P,
30,A,30A,M,11,,WF,1.7,,,3.8,,,P,
30,A,30A,M,12,,SP,3.2,,,2.8,,,NP,
30,A,30A,M,13,,PP,2.3,,,3.5,,,NP,
30,A,30A,M,14,,SP,0.9,,,0.8,,,NP,
30,A,30A,M,15,,GS,7,,,1,,,NP,
30,A,30A,M,16,,SP,3.8,,,2.8,,,NP,
30,A,30A,M,17,,DF,5.5,,,7.1,,,P,
30,A,30A,M,18,,SP,4.6,,,1,,,NP,
30,A,30A,M,19,,DF,5.2,,,5.9,,,P,
30,A,30A,M,20,,WF,4.3,,,5.5,,,P,
30,A,30A,M,21,,PP,6.5,,,5.9,,,NP,
30,A,30A,M,22,,IC,4.5,,,3.5,,,NP,
30,A,30A,M,23,,WF,9.8,,,7.6,,,P,
30,A,30A,M,24,,PP,5,,,7.7,,,P,
30,A,30A,M,25,,GS,5.3,,,5.7,,,P,
30,A,30A,M,26,,SP,2.6,,,2.5,,,NP,
30,A,30A,M,27,,DF,2.3,,,5.6,,,P,EDGE
30,A,30A,M,28,,SP,1.5,,,1,,,NP,EDGE
30,A,30A,M,29,,SP,3.4,,,7.1,,,P,EDGE
30,A,30A,M,30,,GS,3.2,,,2.8,,,NP,
30,A,30A,M,31,,SP,2.4,,,2.5,,,NP,
30,A,30A,M,32,,DF,5.4,,,1.5,,,NP,
30,A,30A,M,33,,IC,9.6,,,6.3,,,P,
30,A,30A,M,34,,GS,8,,,6.5,,,P,
30,A,30A,M,35,,DF,5.1,,,0.8,,,NP,
30,A,30A,M,36,,WF,3.1,,,2.2,,,NP,
30,A,30A,M,37,,IC,5.2,,,2,,,NP,
30,A,30A,M,38,,SP,3.7,,,3.8,,,NP,
30,A,30A,M,39,,GS,8.4,,,7.2,,,P,
30,A,30A,M,40,,PP,6.4,,,6,,,NP,
30,A,30A,M,41,,GS,8.4,,,7,,,P,
30,A,30A,M,42,,PP,7.3,,,7.8,,,P,
30,A,30A,M,43,,DF,2.1,,,0,,,NP,
30,A,30A,M,44,,DF,6.1,,,2,,,NP,
30,A,30A,M,45,,DF,3.5,,,6.4,,,P,
30,A,30A,M,46,,GS,4.6,,,0,,,NP,
30,A,30A,M,47,,DF,5.3,,,5.9,,,NP,
30,A,30A,M,48,,GS,3.2,,,5.8,,,P,
30,A,30A,M,49,,IC,1.6,,,0,,,NP,LEANING
30,A,30A,M,50,,PP,6.8,,,4.5,,,NP,
30,A,30A,M,51,,DF,4.9,,,6.9,,,P,
30,A,30A,M,52,,GS,12.1,,,4,,,NP,
30,A,30A,M,53,,IC,6.6,,,7.1,,,P,
30,A,30A,M,54,,PP,7.4,,,5.7,,,NP,
30,A,30A,M,55,,GS,9.6,,,1.8,,,NP,
30,A,30A,M,56,,IC,3.8,,,1.9,,,P,
30,A,30A,M,57,,IC,4,,,0,,,NP,
30,A,30A,M,58,,GS,8.4,,,6.7,,,P,
30,A,30A,M,59,,DF,4.3,,,2.2,,,NP,
30,A,30A,M,60,,PP,2.9,,,4.6,,,P,
30,A,30A,M,61,,IC,2.7,,,0,,,NP,
30,A,30A,M,62,,IC,1,,,0,,,NP,
30,A,30A,M,63,,IC,1.8,,,1.5,,,NP,
30,A,30A,M,64,,DF,3.5,,,5.2,,,P,
30,A,30A,M,65,,IC,4.5,,,0,,,NP,
30,A,30A,M,66,,IC,5,,,5,,,NP,
30,A,30A,M,67,,DF,3.7,,,2.7,,,NP,
30,A,30A,M,68,,IC,3.2,,,4,,,P,
30,A,30A,M,69,,DF,4.4,,,1,,,NP,
30,A,30A,M,70,,DF,2.3,,,1.5,,,NP,
30,A,30A,M,71,,SP,4.2,,,6.9,,,P,
30,A,30A,M,72,,WF,6.1,,,4.8,,,P,
30,A,30A,M,73,,IC,3.9,,,4.5,,,P,
30,A,30A,M,74,,GS,9,,,6.8,,,P,
30,A,30A,M,75,,DF,6.2,,,0,,,NP,
30,A,30A,M,76,,DF,6.6,,,6.7,,,P,
30,A,30A,M,77,,IC,6.9,,,2.2,,,NP,
30,A,30A,M,78,,PP,6.8,,,6.6,,,P,
30,A,30A,M,79,,GS,8.2,,,6,,,NP,
30,A,30A,M,80,,IC,4.1,,,1,,,NP,
30,A,30A,M,81,,WF,1.6,,,0,,,NP,
30,A,30A,M,82,,IC,5.4,,,6.7,,,P,
30,A,30A,M,83,,DF,4.5,,,6.7,,,P,
30,A,30A,M,84,,IC,3.3,,,5.2,,,P,
30,A,30A,M,85,,DF,3.5,,,6.6,,,P,
30,A,30A,M,86,,DF,4,,,0,,,NP,
30,A,30A,M,87,,DF,6.1,,,0,,,NP,
30,A,30A,M,88,,DF,5.3,,,0,,,NP,
30,A,30A,M,89,,IC,6.3,,,5,,,NP,
30,A,30A,M,90,,PP,6.9,,,6.7,,,P,
30,A,30A,M,91,,GS,12.2,,,4.6,,,NP,
30,A,30A,M,92,,IC,5.2,,,2,,,NP,
30,A,30A,M,93,,DF,5.4,,,7,,,P,
30,A,30A,M,94,,DF,5.5,,,7.6,,,P,
